CONTRACT_NUMBER,FISCAL_YEAR,AUDITOR_TYPE_CD,AUDITOR_TYPE_DES,INSTITUTION_CODE,INSTITUTION_CODE_DESCRIPTION,ELEGIBILITY_CODE,ELEGIBILITY_DESCRIPTION,AUDIT_TYPE,PRODUCT_STATUS_CODE,PRODUCT_STATUS_CODE_DES,OPINION_CODE,OPINION_CODE_DESCRIPTION,AUDIT_HOURS,AUDIT_COST,AUDIT_COST_CURRENCY,OBSERVATION_DESCRIPTION,DUE_DATE,DOCUMENT1,DOCUMENT2,DOCUMENT3,DOCUMENT4,DOCUMENT5,DOCUMENT6,DOCUMENT7,DOCUMENT8,DOCUMENT9,DOCUMENT10
903/SF-DR,1999,IAF,EXTERNAL AUDITORS,DR-KPMG,KPMG DOMINICANA S.A.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,INCLUYE COFINANCIAMIENTO DE PRESTAMO FIDA 345/IF-DR.CDRC-1903/99 10NOV99,2000-04-30 00:00:00,,,,,,,,,,
940/OC-AR,2003,IAF,EXTERNAL AUDITORS,AR-GTI,"ADLER, HASENCLEVER & ASOCIADOS GRANT THORNTON = NOMBRE FANTASIA",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,,,,CONTABILIZACION DE LOS GASTOS SIN OBSERVAR LA EFECTIVA UTILIZACION DE LA FUENTE DE LOS RECURSOS - SALVEDAD A LA FECHA (JUN/04)  REGULARIZADA. SE ENVIO CAR3106/04.,2004-04-30 00:00:00,,,,,,,,,,
1112/SF-HO,2003,IAF,EXTERNAL AUDITORS,HO-FORTIN,HLB - FORTIN LAGOS Y ASOCIADOS,NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,,,,"",2004-04-30 00:00:00,,,,,,,,,,
1443/OC-CO,2006,IAF,EXTERNAL AUDITORS,CO-PKF,AMEZQUITA & CIA. S.A.,ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,USD,"DESEMBOLSOS SIN RESPALDO ENTRE 2004 Y 2004 POR US$962,613.50",2007-04-30 00:00:00,,,,,,,,,,
931/SF-BO,1998,IAF,EXTERNAL AUDITORS,BO-BERTHIN.AMENGUAL,BDO- BERTHIN AMENGUAL Y ASOCIADOS SRL,ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Qualified,,,,DEBIDO A SALVEDADES IMPORTANTES SE COMUNICO AL EJECUTOR QUE LOS EFAS NO HAN SIDO APROBADOS Y EL CUMPLIMIENTO DE LA CLAUSULA DE PRESENTACION DE EFAS HA QUEDADO PENDIENTE DE CUMPLIMIENTO.,1999-09-30 00:00:00,,,,,,,,,,
SP/SF-97-15-BR,1999,IAF,EXTERNAL AUDITORS,BR-MS PEL,MOORE STEPHENS PELEGRINE & RODRIGUES . AUDITORES ASOCIADOS,ELG,Eligibility III,PROJECT,ANY,ANALYZED,CLE,Unqualified,,,,"",2000-04-30 00:00:00,,,,,,,,,,
SP/SF-97-15-BR,1999,IAF,EXTERNAL AUDITORS,BR-MS PEL,MOORE STEPHENS PELEGRINE & RODRIGUES . AUDITORES ASOCIADOS,ELG,Eligibility III,BORROWER,ANY,ANALYZED,CLE,Unqualified,,,,"",2000-04-30 00:00:00,,,,,,,,,,
1091/SF-BO,2006,IAF,EXTERNAL AUDITORS,BO-KPMG,"RUIZMIER, RIVERA, PELAEZ, AUZA S.R.L.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,510,9200.00,USD,"",2007-04-30 00:00:00,,,,,,,,,,
1048/SF-HO,2001,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",,,,"",2002-04-30 00:00:00,,,,,,,,,,
SP/EM-98-09-PE,1999,IAF,EXTERNAL AUDITORS,PE-DELACRUZ,PEREZ DE LA CRUZ & ASOCIADOS,NE,Not Eligible,BORROWER,ANY,ANALYZED,CM,CM,,,,"",2000-07-30 00:00:00,,,,,,,,,,
